Source,Target,Weight
BARC1,BARC14,7
BARC18,BARC14,5
BARC18,BARC5,4
BARC18,BARC6,9
BARC18,BARC9,5
BARC18,BARC8,5
BARC14,BARC1,4
BARC14,BARC18,12
BARC14,BARC3,8
BARC14,BARC5,5
BARC14,BARC6,4
BARC3,BARC1,4
BARC3,BARC14,6
BARC3,BARC20,13
BARC3,BARC5,5
BARC3,BARC6,5
BARC3,BARC15,4
BARC3,BARC4,6
BARC20,BARC3,9
BARC20,BARC5,4
BARC20,BARC6,7
BARC20,BARC10,11
BARC20,BARC15,3
BARC20,BARC22,11
BARC20,BARC4,12
BARC5,BARC18,5
BARC5,BARC20,5
BARC5,BARC6,4
BARC5,BARC10,9
BARC5,BARC15,7
BARC5,BARC8,4
BARC6,BARC18,6
BARC6,BARC20,6
BARC6,BARC5,6
BARC6,BARC9,5
BARC6,BARC10,10
BARC9,BARC10,7
BARC10,BARC20,4
BARC10,BARC6,6
BARC10,BARC9,7
BARC15,BARC3,4
BARC15,BARC20,5
BARC22,BARC20,5
BARC4,BARC14,5
BARC4,BARC3,4
BARC4,BARC20,7
BARC4,BARC5,4
BARC4,BARC6,7
BARC8,BARC18,5
BARC8,BARC3,4
